iter	RMSE
0	0.1277606351
1	0.1224692494
2	0.1159341379
3	0.1108565779
4	0.1067380407
5	0.1021709573
6	0.09779136271
7	0.09484318224
8	0.09202561613
9	0.08810117244
10	0.08495518984
11	0.08134333993
12	0.07907587358
13	0.07590068577
14	0.07399800004
15	0.07145780022
16	0.06948435771
17	0.06687625841
18	0.06403715117
19	0.06205301292
20	0.06012353018
21	0.05855530032
22	0.05680602595
23	0.05511295473
24	0.05365687932
25	0.05219766828
26	0.05100676907
27	0.04912285808
28	0.04733935052
29	0.04601058123
30	0.04461976389
31	0.04330711858
32	0.04195695555
33	0.04066442254
34	0.0391559216
35	0.0383202946
36	0.03725513135
37	0.0363131614
38	0.03543186491
39	0.03445140078
40	0.03345776367
41	0.03255463176
42	0.03186346842
43	0.03101178121
44	0.0303449567
45	0.02945735472
46	0.02903944837
47	0.02818392048
48	0.02770437244
49	0.02693633463
50	0.02613888006
51	0.02542849245
52	0.02500452212
53	0.02426298718
54	0.02384280827
55	0.0234091704
56	0.02299067966
57	0.02252631024
58	0.02185367233
59	0.02142039096
60	0.02099118844
61	0.02044978207
62	0.01984890748
63	0.0193187496
64	0.01889253899
65	0.01839328819
66	0.01793348128
67	0.0176834829
68	0.01714347814
69	0.01669327967
70	0.01633250709
71	0.01577409514
72	0.01525436011
73	0.01475876969
74	0.01449488455
75	0.01412544034
76	0.01366202768
77	0.01322120906
78	0.01289438154
79	0.01248471512
80	0.0121662321
81	0.01189537806
82	0.0115243577
83	0.01125961873
84	0.01098827397
85	0.01074634023
86	0.01042970469
87	0.01020113551
88	0.009906742081
89	0.009694064051
90	0.009370643231
91	0.009214550998
92	0.009029188896
93	0.008838408508
94	0.008582236798
95	0.008450219192
96	0.008283718761
97	0.008017596282
98	0.007814468259
99	0.00766725499
100	0.007450558266
101	0.007263183325
102	0.007083091795
103	0.006886592608
104	0.006771670445
105	0.006602657697
106	0.006502265625
107	0.006342432797
108	0.006146148795
109	0.006003453919
